GPST,latitude(deg),longitude(deg),height(m),Q,ns,sdn(m),sde(m),sdu(m),sdne(m),sdeu(m),sdun(m),age(s),ratio
2019/02/26 15:22:10.000, -25.933904679, -65.876984613, 1684.1476,  2,  5,  1.3037,  0.8294,  2.9207,  0.8300, -1.2286, -1.8373,-20.00,   2.2
2019/02/26 15:22:11.000, -25.933904566, -65.876984474, 1684.1152,  2,  5,  0.5910,  0.0000,  2.0702,  0.9348, -0.8340, -1.5601,-19.00,   2.1
2019/02/26 15:22:12.000, -25.933904658, -65.876984389, 1684.1297,  2,  5,  0.7572,  0.4815,  1.6968,  0.4829, -0.7131, -1.0671,-18.00,   2.1
2019/02/26 15:22:13.000, -25.933904685, -65.876984220, 1684.1478,  2,  5,  0.6567,  0.4175,  1.4715,  0.4188, -0.6183, -0.9255,-17.00,   2.1
2019/02/26 15:22:14.000, -25.933904642, -65.876984166, 1684.1642,  2,  5,  0.5880,  0.3737,  1.3174,  0.3750, -0.5536, -0.8287,-16.00,   2.1
2019/02/26 15:22:15.000, -25.933904631, -65.876984216, 1684.1556,  2,  5,  0.5371,  0.3413,  1.2034,  0.3425, -0.5056, -0.7570,-15.00,   2.0
2019/02/26 15:22:16.000, -25.933904725, -65.876984246, 1684.1717,  2,  5,  0.4975,  0.3161,  1.1145,  0.3173, -0.4682, -0.7012,-14.00,   2.0
2019/02/26 15:22:17.000, -25.933904930, -65.876984253, 1684.1766,  2,  5,  0.4655,  0.2957,  1.0427,  0.2968, -0.4380, -0.6560,-13.00,   2.0
2019/02/26 15:22:18.000, -25.933904940, -65.876984060, 1684.1719,  2,  5,  0.4388,  0.2788,  0.9829,  0.2798, -0.4129, -0.6184,-12.00,   1.9
2019/02/26 15:22:19.000, -25.933904833, -65.876984076, 1684.1744,  2,  5,  0.4162,  0.2644,  0.9321,  0.2654, -0.3915, -0.5864,-11.00,   1.9
2019/02/26 15:22:20.000, -25.933904895, -65.876984181, 1684.1864,  2,  5,  0.3966,  0.2520,  0.8882,  0.2528, -0.3730, -0.5587,-10.00,   2.0
2019/02/26 15:22:21.000, -25.933904950, -65.876984266, 1684.2077,  2,  5,  0.3794,  0.2412,  0.8496,  0.2419, -0.3567, -0.5344, -9.00,   2.0
2019/02/26 15:22:22.000, -25.933905099, -65.876984360, 1684.2341,  2,  5,  0.3641,  0.2316,  0.8153,  0.2321, -0.3423, -0.5128, -8.00,   2.0
2019/02/26 15:22:23.000, -25.933905203, -65.876984316, 1684.2615,  2,  5,  0.3503,  0.2229,  0.7845,  0.2233, -0.3293, -0.4933, -7.00,   2.0
2019/02/26 15:22:24.000, -25.933904573, -65.876984170, 1684.2944,  2,  5,  0.3378,  0.2152,  0.7565,  0.2153, -0.3175, -0.4756, -6.00,   1.8
2019/02/26 15:22:25.000, -25.933905443, -65.876984416, 1684.3168,  2,  5,  0.3263,  0.2081,  0.7308,  0.2080, -0.3066, -0.4594, -5.00,   1.7
2019/02/26 15:22:26.000, -25.933905625, -65.876984486, 1684.3682,  2,  5,  0.3158,  0.2016,  0.7071,  0.2012, -0.2966, -0.4443, -4.00,   1.6
2019/02/26 15:22:27.000, -25.933906025, -65.876984540, 1684.4005,  2,  5,  0.3059,  0.1957,  0.6850,  0.1949, -0.2872, -0.4303, -3.00,   1.5
2019/02/26 15:22:28.000, -25.933906948, -65.876984380, 1684.4387,  2,  5,  0.2967,  0.1901,  0.6645,  0.1890, -0.2785, -0.4172, -2.00,   1.4
2019/02/26 15:22:29.000, -25.933906791, -65.876984479, 1684.4754,  2,  5,  0.2881,  0.1850,  0.6453,  0.1835, -0.2704, -0.4049, -1.00,   1.3
2019/02/26 15:22:30.000, -25.933906889, -65.876984725, 1684.5044,  2,  5,  0.2802,  0.1802,  0.6274,  0.1784, -0.2628, -0.3935,  0.00,   1.2
2019/02/26 15:22:31.000, -25.933909141, -65.876986820, 1685.0170,  2,  6,  0.2851,  0.1804,  0.6385,  0.1796, -0.2659, -0.4013,-29.00,   1.0
2019/02/26 15:22:32.000, -25.933909638, -65.876986838, 1685.0633,  2,  6,  0.2750,  0.1735,  0.6175,  0.1714, -0.2545, -0.3870,-28.00,   1.0
2019/02/26 15:22:33.000, -25.933911034, -65.876987580, 1685.3105,  2,  6,  0.2648,  0.1662,  0.5975,  0.1627, -0.2426, -0.3729,-27.00,   1.1
2019/02/26 15:22:34.000, -25.933910881, -65.876986779, 1685.2221,  2,  6,  0.2553,  0.1595,  0.5785,  0.1547, -0.2316, -0.3597,-26.00,   1.2
2019/02/26 15:22:35.000, -25.933910813, -65.876985437, 1685.1349,  2,  6,  0.2473,  0.1539,  0.5624,  0.1482, -0.2226, -0.3487,-25.00,   1.2
2019/02/26 15:22:36.000, -25.933910400, -65.876985187, 1684.9590,  2,  6,  0.2401,  0.1489,  0.5479,  0.1425, -0.2147, -0.3388,-24.00,   1.3
2019/02/26 15:22:37.000, -25.933909777, -65.876985334, 1684.8147,  2,  6,  0.2336,  0.1443,  0.5345,  0.1373, -0.2076, -0.3297,-23.00,   1.3
2019/02/26 15:22:38.000, -25.933910023, -65.876984242, 1684.7127,  2,  6,  0.2275,  0.1402,  0.5221,  0.1326, -0.2011, -0.3214,-22.00,   1.4
2019/02/26 15:22:39.000, -25.933909931, -65.876983606, 1684.6048,  2,  6,  0.2218,  0.1364,  0.5103,  0.1284, -0.1951, -0.3135,-21.00,   1.5
2019/02/26 15:22:40.000, -25.933909378, -65.876983208, 1684.5074,  2,  6,  0.2165,  0.1328,  0.4993,  0.1244, -0.1896, -0.3062,-20.00,   1.5
2019/02/26 15:22:41.000, -25.933908956, -65.876982863, 1684.4128,  2,  6,  0.2115,  0.1295,  0.4887,  0.1207, -0.1844, -0.2992,-19.00,   1.5
2019/02/26 15:22:42.000, -25.933908486, -65.876982525, 1684.3267,  2,  6,  0.2068,  0.1264,  0.4787,  0.1173, -0.1795, -0.2925,-18.00,   1.4
2019/02/26 15:22:43.000, -25.933908065, -65.876982321, 1684.2432,  2,  6,  0.2022,  0.1235,  0.4690,  0.1140, -0.1749, -0.2862,-17.00,   1.4
2019/02/26 15:22:44.000, -25.933907908, -65.876982163, 1684.1576,  2,  6,  0.1978,  0.1207,  0.4597,  0.1109, -0.1705, -0.2800,-16.00,   1.3
2019/02/26 15:22:45.000, -25.933907656, -65.876982044, 1684.0587,  2,  6,  0.1936,  0.1181,  0.4506,  0.1080, -0.1664, -0.2741,-15.00,   1.3
2019/02/26 15:22:46.000, -25.933907517, -65.876981863, 1683.9834,  2,  6,  0.1905,  0.1160,  0.4439,  0.1056, -0.1630, -0.2697,-14.00,   1.2
2019/02/26 15:22:47.000, -25.933907256, -65.876981746, 1683.9024,  2,  6,  0.1877,  0.1141,  0.4376,  0.1034, -0.1599, -0.2656,-13.00,   1.2
2019/02/26 15:22:48.000, -25.933907073, -65.876981669, 1683.8279,  2,  6,  0.1851,  0.1123,  0.4319,  0.1014, -0.1571, -0.2619,-12.00,   1.1
2019/02/26 15:22:49.000, -25.933906909, -65.876981518, 1683.7665,  2,  6,  0.1827,  0.1107,  0.4266,  0.0995, -0.1545, -0.2586,-11.00,   1.1
2019/02/26 15:22:50.000, -25.933906684, -65.876981373, 1683.7016,  2,  6,  0.1806,  0.1092,  0.4217,  0.0978, -0.1522, -0.2555,-10.00,   1.1
2019/02/26 15:22:51.000, -25.933906564, -65.876981223, 1683.6428,  2,  6,  0.1786,  0.1078,  0.4173,  0.0963, -0.1500, -0.2527, -9.00,   1.0
2019/02/26 15:22:52.000, -25.933906254, -65.876981101, 1683.5792,  2,  6,  0.1768,  0.1065,  0.4132,  0.0948, -0.1480, -0.2501, -8.00,   1.0
2019/02/26 15:22:53.000, -25.933905987, -65.876980872, 1683.5324,  2,  6,  0.1752,  0.1052,  0.4094,  0.0935, -0.1462, -0.2478, -7.00,   1.0
2019/02/26 15:22:54.000, -25.933905850, -65.876981668, 1683.4575,  2,  6,  0.1738,  0.1041,  0.4060,  0.0923, -0.1445, -0.2457, -6.00,   1.0
2019/02/26 15:22:55.000, -25.933904620, -65.876983622, 1683.3980,  2,  6,  0.1725,  0.1031,  0.4029,  0.0912, -0.1429, -0.2438, -5.00,   1.1
2019/02/26 15:22:56.000, -25.933904447, -65.876982287, 1683.3620,  2,  6,  0.1713,  0.1022,  0.4001,  0.0902, -0.1415, -0.2421, -4.00,   1.1
2019/02/26 15:22:57.000, -25.933904803, -65.876981840, 1683.2947,  2,  6,  0.1703,  0.1013,  0.3976,  0.0892, -0.1403, -0.2406, -3.00,   1.1
2019/02/26 15:22:58.000, -25.933904973, -65.876980486, 1683.2468,  2,  6,  0.1694,  0.1005,  0.3953,  0.0884, -0.1391, -0.2393, -2.00,   1.1
2019/02/26 15:22:59.000, -25.933905006, -65.876980416, 1683.1978,  2,  6,  0.1686,  0.0998,  0.3933,  0.0876, -0.1381, -0.2382, -1.00,   1.2
2019/02/26 15:23:00.000, -25.933905510, -65.876980776, 1683.1691,  2,  6,  0.1451,  0.0913,  0.3430,  0.0764, -0.1204, -0.2037,  0.00,   1.4
2019/02/26 15:23:01.000, -25.933905488, -65.876980542, 1683.1200,  2,  6,  0.1593,  0.0967,  0.3715,  0.0817, -0.1294, -0.2233,-29.00,   1.4
2019/02/26 15:23:02.000, -25.933905535, -65.876980472, 1683.0654,  2,  6,  0.1570,  0.0953,  0.3665,  0.0804, -0.1274, -0.2202,-28.00,   1.5
2019/02/26 15:23:03.000, -25.933905526, -65.876980426, 1683.0246,  2,  6,  0.1547,  0.0939,  0.3616,  0.0791, -0.1255, -0.2171,-27.00,   1.5
2019/02/26 15:23:04.000, -25.933905492, -65.876980462, 1682.9839,  2,  6,  0.1525,  0.0926,  0.3567,  0.0779, -0.1236, -0.2140,-26.00,   1.5
2019/02/26 15:23:05.000, -25.933905192, -65.876981489, 1682.9416,  2,  6,  0.1503,  0.0913,  0.3519,  0.0767, -0.1217, -0.2109,-25.00,   1.6
2019/02/26 15:23:06.000, -25.933905074, -65.876981693, 1682.9000,  2,  6,  0.1481,  0.0900,  0.3471,  0.0755, -0.1198, -0.2079,-24.00,   1.6
2019/02/26 15:23:07.000, -25.933905128, -65.876981747, 1682.8560,  2,  6,  0.1459,  0.0888,  0.3424,  0.0743, -0.1180, -0.2048,-23.00,   1.6
2019/02/26 15:23:08.000, -25.933905124, -65.876981468, 1682.8279,  2,  6,  0.1438,  0.0876,  0.3377,  0.0731, -0.1162, -0.2018,-22.00,   1.7
2019/02/26 15:23:09.000, -25.933904764, -65.876981311, 1682.7773,  2,  6,  0.1416,  0.0864,  0.3330,  0.0719, -0.1144, -0.1988,-21.00,   1.7
2019/02/26 15:23:10.000, -25.933904855, -65.876981013, 1682.6934,  2,  6,  0.1395,  0.0853,  0.3284,  0.0707, -0.1126, -0.1958,-20.00,   1.7
2019/02/26 15:23:11.000, -25.933904975, -65.876980822, 1682.7048,  2,  6,  0.1374,  0.0841,  0.3237,  0.0696, -0.1108, -0.1928,-19.00,   1.8
2019/02/26 15:23:12.000, -25.933904748, -65.876979161, 1682.6571,  2,  6,  0.1353,  0.0830,  0.3191,  0.0684, -0.1090, -0.1898,-18.00,   1.8
2019/02/26 15:23:13.000, -25.933904979, -65.876979965, 1682.6310,  2,  6,  0.1332,  0.0820,  0.3144,  0.0672, -0.1072, -0.1868,-17.00,   1.8
2019/02/26 15:23:14.000, -25.933904771, -65.876979442, 1682.5942,  2,  6,  0.1310,  0.0809,  0.3097,  0.0661, -0.1054, -0.1837,-16.00,   1.9
2019/02/26 15:23:15.000, -25.933904102, -65.876979769, 1682.5951,  2,  6,  0.1289,  0.0799,  0.3049,  0.0649, -0.1036, -0.1806,-15.00,   1.9
2019/02/26 15:23:16.000, -25.933904177, -65.876979533, 1682.5712,  2,  6,  0.1282,  0.0794,  0.3031,  0.0643, -0.1028, -0.1795,-14.00,   1.9
2019/02/26 15:23:17.000, -25.933904281, -65.876979828, 1682.5441,  2,  6,  0.1277,  0.0790,  0.3016,  0.0639, -0.1022, -0.1787,-13.00,   1.9
2019/02/26 15:23:18.000, -25.933904160, -65.876980048, 1682.5235,  2,  6,  0.1273,  0.0787,  0.3005,  0.0635, -0.1017, -0.1781,-12.00,   2.0
2019/02/26 15:23:19.000, -25.933903945, -65.876980401, 1682.5026,  2,  6,  0.1270,  0.0784,  0.2995,  0.0632, -0.1013, -0.1776,-11.00,   2.0
2019/02/26 15:23:20.000, -25.933903839, -65.876981265, 1682.4861,  2,  6,  0.1269,  0.0782,  0.2989,  0.0630, -0.1009, -0.1773,-10.00,   2.0
2019/02/26 15:23:21.000, -25.933901898, -65.876979690, 1682.4745,  2,  6,  0.1268,  0.0780,  0.2984,  0.0628, -0.1007, -0.1772, -9.00,   2.0
2019/02/26 15:23:22.000, -25.933902663, -65.876980763, 1682.4304,  2,  6,  0.1269,  0.0778,  0.2982,  0.0627, -0.1006, -0.1772, -8.00,   2.0
2019/02/26 15:23:23.000, -25.933902152, -65.876980015, 1682.3953,  2,  6,  0.1271,  0.0777,  0.2982,  0.0626, -0.1005, -0.1774, -7.00,   2.0
2019/02/26 15:23:24.000, -25.933902455, -65.876980750, 1682.3780,  2,  6,  0.1273,  0.0776,  0.2983,  0.0626, -0.1005, -0.1777, -6.00,   2.0
