GPST,latitude(deg),longitude(deg),height(m),Q,ns,sdn(m),sde(m),sdu(m),sdne(m),sdeu(m),sdun(m),age(s),ratio
2019/02/28 13:03:16.000, -25.929392083, -65.878133118, 1691.4933,  2,  6,  0.4894,  0.4527,  1.3187, -0.1698, -0.1257, -0.2275,-14.00,   1.2
2019/02/28 13:03:17.000, -25.929392085, -65.878133138, 1691.4827,  2,  6,  0.3479,  0.3214,  0.9367, -0.1204, -0.0876, -0.1613,-13.00,   1.2
2019/02/28 13:03:18.000, -25.929392162, -65.878133147, 1691.4607,  2,  6,  0.2845,  0.2629,  0.7661, -0.0984, -0.0711, -0.1318,-12.00,   1.2
2019/02/28 13:03:19.000, -25.929392338, -65.878133189, 1691.4122,  2,  6,  0.2466,  0.2278,  0.6641, -0.0853, -0.0613, -0.1142,-11.00,   1.3
2019/02/28 13:03:20.000, -25.929392391, -65.878133222, 1691.3916,  2,  6,  0.2207,  0.2039,  0.5943, -0.0763, -0.0547, -0.1021,-10.00,   1.3
2019/02/28 13:03:21.000, -25.929392403, -65.878133232, 1691.3893,  2,  6,  0.2016,  0.1861,  0.5427, -0.0697, -0.0498, -0.0931, -9.00,   1.3
2019/02/28 13:03:22.000, -25.929392392, -65.878133225, 1691.3922,  2,  6,  0.1866,  0.1724,  0.5026, -0.0645, -0.0459, -0.0861, -8.00,   1.3
2019/02/28 13:03:23.000, -25.929392425, -65.878133196, 1691.3775,  2,  6,  0.1746,  0.1612,  0.4702, -0.0604, -0.0429, -0.0804, -7.00,   1.2
2019/02/28 13:03:24.000, -25.929392428, -65.878133182, 1691.3798,  2,  6,  0.1646,  0.1520,  0.4432, -0.0569, -0.0403, -0.0756, -6.00,   1.2
2019/02/28 13:03:25.000, -25.929392434, -65.878133174, 1691.3702,  2,  6,  0.1561,  0.1442,  0.4204, -0.0540, -0.0382, -0.0715, -5.00,   1.1
2019/02/28 13:03:26.000, -25.929392442, -65.878133184, 1691.3679,  2,  6,  0.1488,  0.1375,  0.4008, -0.0515, -0.0363, -0.0680, -4.00,   1.1
2019/02/28 13:03:27.000, -25.929392393, -65.878133203, 1691.3703,  2,  6,  0.1425,  0.1316,  0.3836, -0.0493, -0.0347, -0.0648, -3.00,   1.0
