GPST,latitude(deg),longitude(deg),height(m),Q,ns,sdn(m),sde(m),sdu(m),sdne(m),sdeu(m),sdun(m),age(s),ratio
2019/02/28 14:32:48.000, -25.937382960, -65.877259924, 1675.8120,  2,  7,  0.4389,  0.6074,  1.2604, -0.2183, -0.4312,  0.1777,-12.00,   1.3
2019/02/28 14:32:50.000, -25.937382833, -65.877259798, 1675.8078,  2,  7,  0.3118,  0.4322,  0.8970, -0.1558, -0.3067,  0.1240,-10.00,   1.2
2019/02/28 14:32:52.000, -25.937382888, -65.877259692, 1675.8740,  2,  7,  0.2551,  0.3536,  0.7339, -0.1275, -0.2507,  0.1006, -8.00,   1.1
2019/02/28 14:32:54.000, -25.937382846, -65.877259674, 1675.8498,  2,  7,  0.2211,  0.3064,  0.6359, -0.1105, -0.2170,  0.0867, -6.00,   1.0
2019/02/28 14:32:56.000, -25.937382823, -65.877259703, 1675.8334,  2,  7,  0.1978,  0.2742,  0.5687, -0.0988, -0.1938,  0.0772, -4.00,   1.2
2019/02/28 14:32:58.000, -25.937382795, -65.877259647, 1675.8184,  2,  7,  0.1806,  0.2503,  0.5189, -0.0902, -0.1766,  0.0701, -2.00,   1.2
2019/02/28 14:33:00.000, -25.937382772, -65.877259679, 1675.8119,  2,  7,  0.1672,  0.2317,  0.4799, -0.0834, -0.1631,  0.0646,  0.00,   1.2
2019/02/28 14:33:02.000, -25.937382707, -65.877259612, 1675.8205,  2,  7,  0.1578,  0.2182,  0.4518, -0.0783, -0.1538,  0.0628,-28.00,   1.2
2019/02/28 14:33:04.000, -25.937382782, -65.877259585, 1675.8062,  2,  7,  0.1489,  0.2058,  0.4261, -0.0738, -0.1450,  0.0592,-26.00,   1.2
2019/02/28 14:33:06.000, -25.937382803, -65.877259638, 1675.8160,  2,  7,  0.1413,  0.1953,  0.4043, -0.0700, -0.1375,  0.0560,-24.00,   1.2
2019/02/28 14:33:08.000, -25.937382869, -65.877259303, 1675.7668,  2,  7,  0.1347,  0.1861,  0.3853, -0.0667, -0.1309,  0.0532,-22.00,   1.2
2019/02/28 14:33:10.000, -25.937382865, -65.877259426, 1675.7775,  2,  7,  0.1289,  0.1781,  0.3686, -0.0638, -0.1251,  0.0507,-20.00,   1.2
2019/02/28 14:33:12.000, -25.937382880, -65.877259317, 1675.7615,  2,  7,  0.1238,  0.1710,  0.3538, -0.0612, -0.1199,  0.0484,-18.00,   1.2
2019/02/28 14:33:14.000, -25.937382880, -65.877259300, 1675.7582,  2,  7,  0.1192,  0.1646,  0.3404, -0.0590, -0.1152,  0.0464,-16.00,   1.2
2019/02/28 14:33:16.000, -25.937382859, -65.877259391, 1675.7683,  2,  7,  0.1152,  0.1591,  0.3286, -0.0569, -0.1111,  0.0448,-14.00,   1.1
2019/02/28 14:33:18.000, -25.937382871, -65.877259427, 1675.7662,  2,  7,  0.1118,  0.1542,  0.3183, -0.0551, -0.1075,  0.0436,-12.00,   1.1
2019/02/28 14:33:20.000, -25.937382865, -65.877259445, 1675.7725,  2,  7,  0.1087,  0.1499,  0.3092, -0.0534, -0.1043,  0.0427,-10.00,   1.1
